project_id,bucket_id,name,description
0009dd14-9a24-4a91-a314-bb90daa4f064,9439,Task Management 893,Development of a task management system 893
0009f125-b5f3-4d19-a799-d41e82a71c78,13663,Task Management 781,Development of a task management system 781
000a0fc4-0436-4cc8-aedf-caca0107bfc6,5391,Task Management 898,Development of a task management system 898
000a39a4-13e3-47b9-8f29-0f81676bda85,9733,Task Management 148,Development of a task management system 148
000a4496-6716-4fd2-8741-dfbe93056b54,2312,Task Management 892,Development of a task management system 892
000a47f6-0f1c-476d-b52d-a39a1abb7319,4238,Task Management 89,Development of a task management system 89
000a5250-88f1-4922-8cfd-048762ad4cb3,11299,Task Management 929,Development of a task management system 929
000a5ee0-88d3-442d-abd6-550a1c3e2b3b,13476,Task Management 379,Development of a task management system 379
000aadd0-a8f0-44bd-ae83-9c00059db380,13245,Task Management 270,Development of a task management system 270
000aaf53-579c-42c4-b100-a53d5afe2391,13108,Task Management 829,Development of a task management system 829
000b75db-bbfe-4e61-8251-7a742c9ffa27,11678,Task Management 494,Development of a task management system 494
000ba048-1205-4fe4-adb6-64928f66fe52,2046,Task Management 576,Development of a task management system 576
000bbb54-e520-4029-b4c7-b3cd71ba3b7b,7111,Task Management 22,Development of a task management system 22
000bf632-0f14-4b3c-8dd2-c470bd619554,4936,Task Management 335,Development of a task management system 335
000c6261-5354-4fab-86ff-8223d686c7bc,12664,Task Management 483,Development of a task management system 483
000c6e4d-74e7-4daf-83ad-6ed61bbbbc3f,11705,Task Management 283,Development of a task management system 283
000cb5a8-d5a6-4c0c-b302-0681a6f6739b,1545,Task Management 366,Development of a task management system 366
000cd186-2275-4fa8-a750-4bb634b9bf60,8286,Task Management 396,Development of a task management system 396
000cf237-441a-4c7f-9978-174c18b279fd,14256,Task Management 536,Development of a task management system 536
000d2931-2859-45d6-b368-6619bcc0919b,64,Task Management 912,Development of a task management system 912
000d3d05-e911-48f2-bee4-ede03173075e,13988,Task Management 691,Development of a task management system 691
000d9963-7591-4693-8cd0-8118a09dc74a,9694,Task Management 168,Development of a task management system 168
000da7b2-e046-47a5-bb08-9ffa6bb2e0fb,14888,Task Management 868,Development of a task management system 868
000dc1e5-88b6-4aed-9c6b-78e2d0e454a9,2656,Task Management 253,Development of a task management system 253
000dd1de-abb1-4615-bb24-7658a3b90835,9682,Task Management 765,Development of a task management system 765
000dd5ef-7bd6-404d-92f9-105e61ee4709,6482,Task Management 107,Development of a task management system 107
000dfc4b-1969-41a5-bcb2-b13384ddbf69,8390,Task Management 515,Development of a task management system 515
000e6039-f2fd-430f-9734-e8ad627a14ff,2345,Task Management 667,Development of a task management system 667
000e761a-5f39-4773-b504-7c06a1f16bfc,8689,Task Management 488,Development of a task management system 488
000ea37d-ae9e-4e79-9e1e-cf78bad80db6,6767,Task Management 360,Development of a task management system 360
000ec057-cf51-4fdb-beed-e800549ab257,12782,Task Management 969,Development of a task management system 969
000f022a-badb-46f1-94e2-29d0eb3fc562,11613,Task Management 831,Development of a task management system 831
000f0958-392e-4bcc-bec2-8ac392aa9f5a,10914,Task Management 955,Development of a task management system 955
000f1833-fd39-4f89-87df-cb908ca086a2,6283,Task Management 544,Development of a task management system 544
000f215c-89ff-4cd7-bc80-2c381bdd1de1,11185,Task Management 354,Development of a task management system 354
000f4832-531c-4954-b695-b45863941010,13701,Task Management 433,Development of a task management system 433
000f6365-2581-4fda-b893-20355bcd3df6,9079,Task Management 929,Development of a task management system 929
000f7289-346c-4582-93f2-b67e104f37e6,6883,Task Management 48,Development of a task management system 48
000fc199-441f-4890-b1a4-3b8639bd020e,4672,Task Management 998,Development of a task management system 998
000fc37e-dbf9-4533-951a-3cf37773167e,7152,Task Management 776,Development of a task management system 776
001080e5-7b7d-43d9-b125-650fbe8c8636,1847,Task Management 403,Development of a task management system 403
0010ae98-e379-4c03-8626-21bac605844a,9284,Task Management 670,Development of a task management system 670
0010d842-c0ee-4a2f-a5f6-c8430ceb23ce,12927,Task Management 425,Development of a task management system 425
0011660e-e786-49c2-8158-ff94a35a678c,12046,Task Management 382,Development of a task management system 382
0011f932-3b4b-4a18-b94e-bb8ea5985e92,1380,Task Management 624,Development of a task management system 624
00124722-5fc5-4b1f-948e-cb802797c9c1,7334,Task Management 847,Development of a task management system 847
001275c1-72ff-470e-8531-cd883a91b0b1,12961,Task Management 370,Development of a task management system 370
0012f3f4-d99e-4062-888f-641ed62d602e,144,Task Management 803,Development of a task management system 803
00133040-6356-4d89-a565-c816901f1a1b,9388,Task Management 769,Development of a task management system 769
001339d6-fca5-467e-ac54-b13cc23262af,9015,Task Management 831,Development of a task management system 831
00134577-90d3-4902-8be2-4d6f68ca85b9,2034,Task Management 367,Development of a task management system 367
0013528a-5a15-422b-a400-ea9c8fa7f19c,5353,Task Management 680,Development of a task management system 680
001445d0-b225-4969-99fe-ee9ae4274573,12611,Task Management 5,Development of a task management system 5
00145b44-de71-4c73-8cb1-b5194c7a1c3e,2276,Task Management 771,Development of a task management system 771
00149d6f-d059-4e9b-9e1f-83cf3edc8138,7322,Task Management 86,Development of a task management system 86
0014bf8f-455f-4292-a0f6-d667b634ef6b,9386,Task Management 820,Development of a task management system 820
0015067e-f49c-41b8-b139-bf3ccabca628,3752,Task Management 138,Development of a task management system 138
0015db9e-7f6f-4e83-9bdb-47af3bbae4ce,3504,Task Management 447,Development of a task management system 447
0015df8c-0ea8-4d69-b948-45caed95e4d7,14912,Task Management 633,Development of a task management system 633
0015f165-dade-46fe-b9b3-2f34b5af62c4,2319,Task Management 871,Development of a task management system 871
00161621-c5c9-45db-a7ee-a808a5af1f43,376,Task Management 21,Development of a task management system 21
00166560-ffe6-4c2a-9da0-56cca2baf6cc,1506,Task Management 840,Development of a task management system 840
0016b1d2-081b-4059-bbd6-023abe074cf1,5455,Task Management 786,Development of a task management system 786
0016cb72-bd80-4183-ba5c-e66084a2681d,1256,Task Management 1,Development of a task management system 1
0016cb8c-0e61-49a5-b87d-4c7c8bf642c3,12572,Task Management 293,Development of a task management system 293
0016fb68-0363-45bc-8afd-14dc7a2ce2ad,8068,Task Management 171,Development of a task management system 171
0016fe2f-2f90-4594-823a-c8fc298b2cfd,12756,Task Management 731,Development of a task management system 731
001724c6-ac46-49ec-8568-ae3e66cc9855,6546,Task Management 117,Development of a task management system 117
00174ba8-1225-4d55-9677-25cf9743f716,12261,Task Management 91,Development of a task management system 91
001777d9-91b6-4dda-8abf-9a4175db7438,7530,Task Management 716,Development of a task management system 716
00177994-d922-4ab8-bbaf-48481dcae271,6778,Task Management 866,Development of a task management system 866
0017cbea-ff7a-4c5d-bc4d-203e4674fa89,9484,Task Management 342,Development of a task management system 342
0017d20f-11ae-4c01-b255-cf19512e49a6,2080,Task Management 844,Development of a task management system 844
001800da-0ae2-4cec-849b-40834077f7ad,12730,Task Management 406,Development of a task management system 406
00180b67-28eb-4874-9ce4-b55e38e838de,5303,Task Management 473,Development of a task management system 473
00183cd1-55ac-49c4-afe9-5762dac936fe,11010,Task Management 568,Development of a task management system 568
00184031-2450-416c-8bff-af077c003eb6,2114,Task Management 842,Development of a task management system 842
00184195-f093-4424-bef0-2ddb5e2fd55d,4136,Task Management 535,Development of a task management system 535
00184bc0-9904-40a5-b645-cf6d6446e655,180,Task Management 992,Development of a task management system 992
00185ddb-da6f-4d4b-964b-8962c1ca26b4,8515,Task Management 518,Development of a task management system 518
00187f82-a509-4307-8458-cf2a1c76f342,11754,Task Management 727,Development of a task management system 727
0018cf2c-40dc-45fe-9564-14c3e61d4c18,1878,Task Management 646,Development of a task management system 646
0018f5b0-5089-4a43-b81d-b285004e99c5,4577,Task Management 837,Development of a task management system 837
0018f618-2d08-4d71-9b15-ea4fb9a3e7ee,11535,Task Management 699,Development of a task management system 699
00196b07-c085-4f41-a37b-e117ecbd15f5,6688,Task Management 153,Development of a task management system 153
0019a59e-b4c8-499b-9e0e-d6f956c10ed6,9515,Task Management 230,Development of a task management system 230
0019c743-58ec-4710-b24e-a818731eff05,13001,Task Management 917,Development of a task management system 917
0019cfd6-7e92-442d-8962-0767b44a974b,6122,Task Management 235,Development of a task management system 235
001a34c3-8e46-4b91-9f3f-b24f76d38deb,2374,Task Management 973,Development of a task management system 973
001a590a-8d24-492b-ada0-61e657efab1f,5772,Task Management 481,Development of a task management system 481
001a67f7-fa70-46e7-a182-dfccaf06cac8,5981,Task Management 861,Development of a task management system 861
001a93e0-4229-4efc-b7e3-558b2bb4d8c6,2497,Task Management 984,Development of a task management system 984
001aa1eb-4183-4fda-9e41-4a005c98c4bc,2541,Task Management 59,Development of a task management system 59
001afc8f-1e7e-4c08-853d-48e88424c88c,10379,Task Management 292,Development of a task management system 292
001b5872-a7b8-4e8a-a340-c66d10b250c4,2827,Task Management 585,Development of a task management system 585
001b909f-115b-48d6-879e-7707a71e2053,321,Task Management 173,Development of a task management system 173
001bb222-f504-48ea-9ed7-3ba30fdce9c5,739,Task Management 869,Development of a task management system 869
001bc1a0-ec1f-44bc-aeba-bc4f1d0a1232,4378,Task Management 546,Development of a task management system 546
001c0ed9-1316-4311-8978-9eeed209300f,8794,Task Management 913,Development of a task management system 913
001c4a79-4abe-4e4c-accf-4fde980d7b87,3883,Task Management 692,Development of a task management system 692
001c5355-77c2-4649-9aee-e3b5593889b9,11960,Task Management 251,Development of a task management system 251
001c6ba2-a13b-409d-9064-b0dff0d9d48a,1511,Task Management 701,Development of a task management system 701
001caa79-6a3d-4ad7-804b-ff95af67de5e,5857,Task Management 694,Development of a task management system 694
001cabee-b699-417e-8228-b9a5b1238dfa,4179,Task Management 793,Development of a task management system 793
001d0273-264f-41bd-8bad-efec15e93f8e,2570,Task Management 87,Development of a task management system 87
001d0c23-56ee-4452-ba11-50ff8efec0fa,11626,Task Management 102,Development of a task management system 102
001d2b37-58e3-4af2-b183-b80e163197b7,7736,Task Management 134,Development of a task management system 134
001d47a3-fc95-4941-b5a2-96fac8cb421a,5437,Task Management 191,Development of a task management system 191
001d5b94-31ef-463a-9646-0647de52fb24,10357,Task Management 257,Development of a task management system 257
